Trigger,ResponseTimeSec,Scene
Trigger2,7.20,flip level 2
Trigger2,9.30,flip level 2
Trigger2,17.74,flip level 2
Trigger2,68.78,flip level 2
Trigger1,5.64,flip level 1 (tutorial)
Trigger2,4.60,flip level 2
Trigger2,9.82,flip level 2
Trigger2,16.04,flip level 2
Trigger2,17.50,flip level 2
Trigger2,19.78,flip level 2
Trigger2,13.88,flip level 2
Trigger2,16.16,flip level 2
Trigger2,16.84,flip level 2
Trigger2,3.96,flip level 2
Trigger2,50.08,flip level 2
Trigger2,1.68,flip level 2
Trigger2,9.46,flip level 2
Trigger2,62.48,flip level 2
